::1 - [27/February/2014 11:02:59] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:04:05] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:04:14] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:04:27] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:04:39] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:04:54] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:05:07] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:05:15] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:05:27] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:05:38] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:06:37] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:27:59] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:30:57] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:31:36] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:31:37] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:31:38] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:31:39] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:31:40] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:31:41] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:31:43] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:31:44] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:31:45] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
::1 - [27/February/2014 11:31:46] /Battle/player/player_admin.php Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0
